"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
,45 to 64 years,"2,785","2,720","2,152",77.3,4.1,79.1,4,"2,012",72.2,4.2,74,4.2
,65 years and over,"2,278","2,255","1,854",81.4,3,82.2,2.9,"1,730",75.9,3.4,76.7,3.4
OKLAHOMA,Total,"3,053","2,924","2,062",67.6,3.4,70.5,3,"1,747",57.2,3.3,59.7,3.1
,18 to 24 years,464,462,215,46.3,7.6,46.6,7.7,158,34,7.7,34.2,7.8
,25 to 34 years,446,420,270,60.5,7.6,64.3,7.9,226,50.8,8.4,53.9,8.8
,35 to 44 years,540,507,351,65.1,7,69.4,6.6,294,54.4,6.7,58,6.4
,45 to 64 years,848,794,596,70.3,5,75.1,4.5,499,58.9,5.5,62.9,5.6
,65 years and over,755,742,630,83.4,4.6,84.9,4.3,570,75.5,4.8,76.8,4.7
OREGON,Total,"3,365","3,138","2,604",77.4,2.9,83,3,"2,362",70.2,2.8,75.3,2.8
,18 to 24 years,269,252,155,57.8,12.2,61.6,12.3,115,42.9,12,45.8,12.4
,25 to 34 years,625,578,451,72.2,6.2,78,6.6,393,62.9,6.8,68,6.9
,35 to 44 years,615,550,471,76.6,5.1,85.7,4.4,418,68,5.5,76,5.2
,45 to 64 years,"1,012",930,787,77.8,5.6,84.7,4.8,735,72.6,4.8,79,4.1
,65 years and over,845,828,739,87.4,3.4,89.2,3.5,701,83,3.6,84.6,3.7
PENNSYLVANIA,Total,"10,185","9,789","7,413",72.8,2.3,75.7,2.3,"6,828",67,2.4,69.7,2.3
